number,company,symbol,ytd_return
103,W. R. Berkley Corporation,,   25.56
104,Insulet Corporation,,   25.20
105,Archer Daniels Midland,,   25.08
106,Bunge Global,,   25.06
107,Meta Platforms,,   25.05
108,WEC Energy Group,,   24.95
109,Incyte,,   24.76
110,Norfolk Southern Railway,,   24.05
111,AutoZone,,   23.94
112,Rockwell Automation,,   23.44
113,C.H. Robinson,,   23.36
114,Teledyne Technologies,,   23.20
115,Altria,,   23.16
116,Jacobs Solutions,,   22.88
117,Microsoft,,   22.61
118,Boeing,,   22.50
119,Wells Fargo,,   22.47
120,EQT Corporation,,   22.42
121,CBRE Group,,   21.78
122,Globe Life,,   21.44
123,Ventas,,   21.41
124,Martin Marietta Materials,,   21.41
125,Cboe Global Markets,,   21.34
126,Ford Motor Company,,   21.11
127,Live Nation Entertainment,,   21.06
128,"Rollins, Inc.",,   20.97
129,Garmin,,   20.78
130,Capital One,,   20.50
131,Ulta Beauty,,   20.41
132,Xcel Energy,,   20.38
133,Mosaic Company (The),,   20.34
134,Prologis,,   20.32
135,Medtronic,,   20.08
136,3M,,   19.90
137,Fox Corporation (Class A),,   19.76
138,Duke Energy,,   19.68
139,Ecolab,,   19.57
140,Fastenal,,   19.57
141,Cisco,,   19.34
142,NiSource,,   19.29
143,Cummins,,   18.76
144,FirstEnergy,,   18.73
145,DTE Energy,,   18.69
146,ResMed,,   18.68
147,Southern Company,,   18.67
148,TJX Companies,,   18.64
149,Ameren,,   18.57
150,Walmart,,   18.48
151,Bank of America,,   18.41
152,NextEra Energy,,   18.25
153,"F5, Inc.",,   17.91
154,Steris,,   17.83
155,American Express,,   17.75
156,State Street Corporation,,   17.46
157,Loews Corporation,,   17.13
158,Expedia Group,,   17.13
159,Nucor,,   17.05
160,Microchip Technology,,   16.95
161,American Water Works,,   16.82
162,Williams Companies,,   16.52
163,Palo Alto Networks,,   16.41
164,Amgen,,   16.38
165,Parker Hannifin,,   16.35
166,PPL Corporation,,   16.05
167,Alliant Energy,,   15.98
168,Analog Devices,,   15.89
169,Carnival,,   15.81
170,Universal Health Services,,   15.51
171,CME Group,,   15.24
172,Axon Enterprise,,   14.94
173,"Nasdaq, Inc.",,   14.94
174,Citizens Financial Group,,   14.92
175,Vulcan Materials Company,,   14.87
176,AT&T,,   14.62
177,Abbott Laboratories,,   14.50
178,Phillips 66,,   14.40
179,Dominion Energy,,   14.09
180,Consolidated Edison,,   14.00
181,Fox Corporation (Class B),,   13.93
182,Eaton Corporation,,   13.81
183,CSX Corporation,,   13.63
184,Realty Income,,   13.54
185,Trane Technologies,,   13.27
186,Hartford (The),,   13.21
187,PulteGroup,,   13.20
188,BlackRock,,   13.16
189,Kroger,,   13.08
190,Genuine Parts Company,,   12.89
191,Baker Hughes,,   12.82
192,CMS Energy,,   12.66
193,Nordson Corporation,,   12.63
194,Boston Scientific,,   12.55
